,0.0,1.0,accuracy,macro avg,weighted avg
precision,0.9956682755594559,0.0,0.9956682755594559,0.49783413777972796,0.9913553149555407
recall,1.0,0.0,0.9956682755594559,0.5,0.9956682755594559
f1-score,0.9978294366385467,0.0,0.9956682755594559,0.49891471831927336,0.9935071144803652
support,283641.0,1234.0,0.9956682755594559,284875.0,284875.0
